time,active_blocks,block_0_x,block_0_y,block_0_z,block_0_vx,block_0_vy,block_0_vz,block_1_x,block_1_y,block_1_z,block_1_vx,block_1_vy,block_1_vz,block_2_x,block_2_y,block_2_z,block_2_vx,block_2_vy,block_2_vz,block_3_x,block_3_y,block_3_z,block_3_vx,block_3_vy,block_3_vz,block_4_x,block_4_y,block_4_z,block_4_vx,block_4_vy,block_4_vz,block_5_x,block_5_y,block_5_z,block_5_vx,block_5_vy,block_5_vz
3.611111111111111466e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.083363697393466829e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.538263579003220749e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.888888888888888951e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.082324207642083369e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.810125280644815482e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.166666666666667129e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.081209211725530306e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.081934170240135162e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.444444444444444614e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.080018724653724949e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.353688616351962248e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.722222222222222099e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.078752761889491429e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.625386988848914083e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.000000000000000278e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.077411339348187891e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.897027658944358985e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.277777777777777762e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.075994473397325679e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.168608999235270174e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.555555555555555941e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.074502180856177214e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.440129383741003632e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.833333333333333426e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.072934478995372087e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.711587187942007704e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.111111111111111605e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.071291385536484064e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.982980788818452744e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.388888888888889783e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.069572918651605642e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.254308564888793054e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.666666666666666574e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.067779096962913066e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.525568896248241657e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.944444444444444753e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065909939542220020e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.796760164607169585e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.222222222222222932e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.063965465910521768e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.067880753329424115e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
