time,object_a_x,object_a_y,object_a_z,object_a_vx,object_a_vy,object_a_vz,object_b_x,object_b_y,object_b_z,object_b_vx,object_b_vy,object_b_vz,total_translational_ke,total_px,total_py
2.777777777777777971e-02,-3.308697578687391228e-01,-1.596805032499096694e-13,7.749915123946412576e-01,1.047503449931487696e+00,-6.336185169181550912e-12,-1.344266729180754183e-10,3.364159293156400166e-01,-1.816251558137350902e-13,7.749915124797914778e-01,-8.481464509477331104e-01,-7.203435024860403382e-12,1.383720811543032170e-10,7.095742856048364855e-02,4.338652343696990793e-02,-1.002462766717963712e-12
3.055555555555555802e-02,-3.279605452080120442e-01,-1.772784968164241809e-13,7.749915123942536788e-01,1.047254267646425374e+00,-6.334974980431124983e-12,-1.392949991463332537e-10,3.340603524801734614e-01,-2.016306681046271656e-13,7.749915124801616262e-01,-8.479614019947835368e-01,-7.201500632560331761e-12,1.335246600786543780e-10,7.092452372785304493e-02,4.337519996849126952e-02,-1.002237786192421235e-12
3.333333333333333287e-02,-3.250520245418050957e-01,-1.948731235358406296e-13,7.749915123938657668e-01,1.047005171034856019e+00,-6.333762290008831499e-12,-1.395960864264411683e-10,3.317052895540957280e-01,-2.216308006098411716e-13,7.749915124805314415e-01,-8.477764084704368930e-01,-7.199563132505924783e-12,1.331646008739806319e-10,7.089163743058875256e-02,4.336388088491082565e-02,-1.002012394051150346e-12
3.611111111111111466e-02,-3.221441956322264044e-01,-2.124643764573544970e-13,7.749915123934778549e-01,1.046756160053537332e+00,-6.332547097083418568e-12,-1.396077455029232084e-10,3.293507403834888825e-01,-2.416255446944074168e-13,7.749915124809011457e-01,-8.475914703504874304e-01,-7.197622523989613446e-12,1.331295750722771842e-10,7.085876965577823927e-02,4.335256618378911797e-02,-1.001786590176884462e-12
3.888888888888888951e-02,-3.192370582415042235e-01,-2.300522486279516714e-13,7.749915123930899430e-01,1.046507234659254992e+00,-6.331329400882520834e-12,-1.396496442790384762e-10,3.269967048145023258e-01,-2.616148917217112143e-13,7.749915124812710721e-01,-8.474065876107421680e-01,-7.195678805814637848e-12,1.331632182993702784e-10,7.082592039051971433e-02,4.334125586268841590e-02,-1.001560374428305146e-12
4.166666666666667129e-02,-3.163306121319867659e-01,-2.476367330923257249e-13,7.749915123927021421e-01,1.046258394808823766e+00,-6.330109200563858405e-12,-1.395698105699505476e-10,3.246431826933524611e-01,-2.815988330528995315e-13,7.749915124816409984e-01,-8.472217602270221137e-01,-7.193731977779174804e-12,1.331843784563302435e-10,7.079308962192235044e-02,4.332994991917280686e-02,-1.001333746717497599e-12
4.444444444444444614e-02,-3.134248570661420930e-01,-2.652178228929580872e-13,7.749915123923144522e-01,1.046009640459086842e+00,-6.328886495341952206e-12,-1.395969884826486762e-10,3.222901738663229154e-01,-3.015773600477196821e-13,7.749915124820109247e-01,-8.470369881751621532e-01,-7.191782038877196592e-12,1.332130482312177122e-10,7.076027733710615886e-02,4.331864835080807830e-02,-1.001106706913407615e-12
4.722222222222222099e-02,-3.105197928065581703e-01,-2.827955110701262239e-13,7.749915123919267623e-01,1.045760971566916941e+00,-6.327661284415378929e-12,-1.395359574413168602e-10,3.199376781797643732e-01,-3.215504640586511094e-13,7.749915124823809620e-01,-8.468522714310113830e-01,-7.189828986287309694e-12,1.332044197166482036e-10,7.072748352320208653e-02,4.330735115516184258e-02,-1.000879254774622653e-12
5.000000000000000278e-02,-3.076154191159426454e-01,-3.003697906618438602e-13,7.749915123915391835e-01,1.045512388089215650e+00,-6.326433566972112976e-12,-1.394932572229556911e-10,3.175856954800946319e-01,-3.415181364359475838e-13,7.749915124827511104e-01,-8.466676099704326663e-01,-7.187872819310752481e-12,1.332812679666339761e-10,7.069470816735198837e-02,4.329605832980345376e-02,-1.000651390186135325e-12
5.277777777777777762e-02,-3.047117357571228480e-01,-3.179406547038589109e-13,7.749915123911516046e-01,1.045263889982913197e+00,-6.325203342199180401e-12,-1.395551348093437838e-10,3.152342256137984911e-01,-3.614803685248327953e-13,7.749915124831213697e-01,-8.464830037693032994e-01,-7.185913536741559435e-12,1.332938707326869476e-10,7.066195125670858557e-02,4.328476987230398670e-02,-1.000423113002419802e-12
5.555555555555555941e-02,-3.018087424930456786e-01,-3.355080962297334518e-13,7.749915123907641368e-01,1.045015477204969345e+00,-6.323970609306845054e-12,-1.394740503646296759e-10,3.128832684274276410e-01,-3.814371516719196371e-13,7.749915124834916291e-01,-8.462984528035142340e-01,-7.183951138577124614e-12,1.333315263751799762e-10,7.062921277843549339e-02,4.327348578023638287e-02,-1.000194423152243435e-12
5.833333333333333426e-02,-2.989064390867775534e-01,-3.530721082708042895e-13,7.749915123903767800e-01,1.044767149712372278e+00,-6.322735367500013498e-12,-1.394213078320660770e-10,3.105328237676007741e-01,-4.013884772171418119e-13,7.749915124838619995e-01,-8.461139570489708550e-01,-7.181985622208883874e-12,1.333766274508318972e-10,7.059649271970717954e-02,4.326220605117525597e-02,-9.999653204075341907e-13
6.111111111111111605e-02,-2.960048253015042374e-01,-3.706326838561896254e-13,7.749915123899895342e-01,1.044518907462139268e+00,-6.321497615970654676e-12,-1.394413595007248929e-10,3.081828914810035847e-01,-4.213343364958186527e-13,7.749915124842322589e-01,-8.459295164815922030e-01,-7.180016986432845136e-12,1.333664307462401055e-10,7.056379106770895027e-02,4.325093068269699609e-02,-9.997358046233296775e-13
6.388888888888889783e-02,-2.931039009005309004e-01,-3.881898160127251394e-13,7.749915123896021774e-01,1.044270750411316451e+00,-6.320257353900711195e-12,-1.393893698381498680e-10,3.058334714143884914e-01,-4.412747208403305884e-13,7.749915124846027403e-01,-8.457451310773110853e-01,-7.178045229832211186e-12,1.333983184331755112e-10,7.053110780963697812e-02,4.323965967237980434e-02,-9.995058756409966060e-13
6.666666666666666574e-02,-2.902036656472819498e-01,-4.057434977650300772e-13,7.749915123892149316e-01,1.044022678516978830e+00,-6.319014580494465194e-12,-1.393780646452569272e-10,3.034845634145747484e-01,-4.612096215833625860e-13,7.749915124849732218e-01,-8.455608008120748531e-01,-7.176070353129639803e-12,1.334248683759753362e-10,7.049844293269823259e-02,4.322839301780359578e-02,-9.992755334322801749e-13
6.944444444444444753e-02,-2.873041193053009201e-01,-4.232937221354829155e-13,7.749915123888279078e-01,1.043774691736230054e+00,-6.317769294940325669e-12,-1.393391044907099641e-10,3.011361673284485008e-01,-4.811390300510283126e-13,7.749915124853438142e-01,-8.453765256618445134e-01,-7.174092352993954299e-12,1.334151313731046784e-10,7.046579642411052169e-02,4.321713071655002708e-02,-9.990447777242665197e-13
7.222222222222222932e-02,-2.844052616382505838e-01,-4.408404821442449399e-13,7.749915123884407731e-01,1.043526790026202633e+00,-6.316521496442474593e-12,-1.393235943281112554e-10,2.987882830029625070e-01,-5.010629375651107534e-13,7.749915124857145177e-01,-8.451923056025951730e-01,-7.172111228930268024e-12,1.334536786634643590e-10,7.043316827110249201e-02,4.320587276620253131e-02,-9.988136084156387383e-13
